"Id Empenho";"Código Empenho";"Código Empenho Resumido";"Data Emissão";"Código Tipo Documento";"Tipo Documento";"Tipo Empenho";"Espécie Empenho";"Código Órgão Superior";"Órgão Superior";"Código Órgão";"Órgão";"Código Unidade Gestora";"Unidade Gestora";"Código Gestão";"Gestão";"Código Favorecido";"Favorecido";"Observação";"Código Esfera Orçamentária";"Esfera Orçamentária";"Código Tipo Crédito";"Tipo Crédito";"Código Grupo Fonte Recurso";"Grupo Fonte Recurso";"Código Fonte Recurso";"Fonte Recurso";"Código Unidade Orçamentária";"Unidade Orçamentária";"Código Função";"Função";"Código SubFunção";"SubFunção";"Código Programa";"Programa";"Código Ação";"Ação";"Linguagem Cidadã";"Código Subtítulo (Localizador)";"Subtítulo (Localizador)";"Código Plano Orçamentário";"Plano Orçamentário";"Código Programa Governo";"Nome Programa Governo";"Autor Emenda";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Processo";"Modalidade de Licitação";"Inciso";"Amparo";"Referência de Dispensa ou Inexigibilidade";"Código Convênio";"Contrato de Repasse / Termo de Parceria / Outros";"Valor Original do Empenho";"Valor do Empenho Convertido pra R$";"Valor Utilizado na Conversão"
"302500008";"323031322052021NE000032";"2021NE000032";"05/01/2021";"NE";"Nota de Empenho";"Global";"Não se aplica";"32000";"Ministério de Minas e Energia";"32205";"Agência Nacional do Petróleo, Gás Natural e B";"323031";"ESCRITORIO CENTRAL DA ANP";"32205";"AGENCIA NACIONAL DO PETROLEO";"08030124000121";"AGENCIA AEROTUR LTDA";"CONTRATO Nº 4.029/19 DE AGENCIAMENTO DE VIAGENS NACIONAIS E INTERNACIONAIS VIGENCIA 21/12/21.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"50";"RECURSOS NÃO-FINANCEIROS DIRETAM. ARRECADADOS";"32265";"AGENCIA NACIONAL DO PETROLEO - ANP";"25";"Energia";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE              - NACIONAL";"0003";"OUTRAS DESPESAS ADMINISTRATIVAS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"33";"Passagens e Despesas com Locomoção";"48610.009400/2018-66";"Dispensa de Licitação";"XI";"LEI 8.666 / 1993";"-2";"-1";"NAO SE APLICA";"5000,00";"5000,00";"1,0000"
"302900432";"170028000012021NE000009";"2021NE000009";"05/01/2021";"NE";"Nota de Empenho";"Global";"Não se aplica";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170028";"DELEGACIA DA RFB EM SAO LUIS";"00001";"TESOURO NACIONAL";"10735362000184";"CAROLINA ON LINE COMUNICACAO MULTIMIDIA LTDA";"DISPENSA DE LICITACAO: 37/2020. CONTRATACAO DE PESSOA JURIDICA PARA SERVICO DE INTERNET BANDA LARGA PARA O POSTO DE ATENDIMENTO DA ARF/CAROLINA/MA, JURISDICIONADA DA DRF/SLS/MA.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"50";"RECURSOS NÃO-FINANCEIROS DIRETAM. ARRECADADOS";"25103";"SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL";"04";"Administração";"126";"Tecnologia da informação";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"20VG";"GESTAO DAS SOLUCOES INFORMATIZADAS DA SECRETARIA ESPECIAL DA RECEITA FEDERAL DO BRASIL E DO CONSELHO ADMINISTRATIVO DE RECURSOS FISCAIS";"";"20VG0001";"GESTAO DAS SOLUCOES INFORMATIZADAS DA - NACIONAL";"0004";"MODERNIZACAO E APERFEICOAMENTO DE SOLUCOES DE TECNOLOGIA, INFORMACAO E COMUNICACAO DA SECRETARIA ESPECIAL DA RECEITA FEDERAL DO BRASIL";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"40";"Serviços de Tecnologia da Informação e Comuni";"10320.733470/2020-46";"Dispensa de Licitação";"II";"LEI 8.666 / 1993";"-2";"-1";"NAO SE APLICA";"1800,00";"1800,00";"1,0000"
"316400008";"393001392502021NE000003";"2021NE000003";"05/01/2021";"NE";"Nota de Empenho";"Global";"Não se aplica";"39000";"Ministério da Infraestrutura";"39250";"Agência Nacional de Transportes Terrestres";"393001";"AGENCIA NACIONAL DE TRANSPORTES TERRESTRES";"39250";"AGENCIA NACIONAL DE TRANSPORTES TERRESTRES";"393001";"AGENCIA NACIONAL DE TRANSPORTES TERRESTRES";"FOPAG ATIVO";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"29";"RECURSOS DE CONCESSOES E PERMISSOES";"39250";"AGENCIA NAC. DE TRANSPORTES TERRESTRES ± ANTT";"26";"Transporte";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"20TP";"ATIVOS CIVIS DA UNIAO";"";"20TP0001";"ATIVOS CIVIS DA UNIAO                 - NACIONAL";"0000";"ATIVOS CIVIS DA UNIAO";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"1";"Pessoal e Encargos Sociais";"90";"Reserva de Contingência";"91";"Sentenças Judiciais";"-8";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"206242,32";"206242,32";"1,0000"
"309200012";"393001392502021NE000018";"2021NE000018";"05/01/2021";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"39000";"Ministério da Infraestrutura";"39250";"Agência Nacional de Transportes Terrestres";"393001";"AGENCIA NACIONAL DE TRANSPORTES TERRESTRES";"39250";"AGENCIA NACIONAL DE TRANSPORTES TERRESTRES";"393001";"AGENCIA NACIONAL DE TRANSPORTES TERRESTRES";"FOPAG ATIVO - AUXILIO ALIMENTACAO";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"29";"RECURSOS DE CONCESSOES E PERMISSOES";"39250";"AGENCIA NAC. DE TRANSPORTES TERRESTRES ± ANTT";"26";"Transporte";"301";"Atenção básica";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"";"212B0001";"BENEFICIOS OBRIGATORIOS AOS SERVIDORE - NACIONAL";"0005";"AUXILIO-ALIMENTACAO DE CIVIS ATIVOS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"46";"Auxílio-Alimentação";"-8";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"4366048,00";"4366048,00";"1,0000"
"316000010";"153056152272021NE000001";"2021NE000001";"05/01/2021";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"26000";"Ministério da Educação";"26236";"Universidade Federal Fluminense";"153056";"UNIVERSIDADE FEDERAL FLUMINENSE";"15227";"UNIVERSIDADE FEDERAL FLUMINENSE";"510001";"COORD.GERAL DE ORCAMENTO, FINANCAS E CONTAB.";"FOLHA DE PAGAMENTO - RECONHECIMENTO DE DIVIDA - CONTRIBUICOES PREVIDENCIARIAS - CLT ?REFERENTE A DEZEMBRO DE 2020.";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"-3";"Inválido";"51";"CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS";"26236";"UNIVERSIDADE FEDERAL FLUMINENSE";"09";"Previdência social";"272";"Previdência do regime estatutário";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"0181";"APOSENTADORIAS E PENSOES CIVIS DA UNIAO";"Pagamento de Aposentadorias e Pensões";"01810033";"APOSENTADORIAS E PENSOES CIVIS DA UNI - NO ESTADO DO RIO DE";"0000";"APOSENTADORIAS E PENSOES CIVIS DA UNIAO";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"1";"Pessoal e Encargos Sociais";"91";"APLICACOES DIRETAS - OPER.INTRA-ORCAMENTARIAS";"92";"Despesas de Exercícios Anteriores";"23069.000338/2020-24";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"11309,91";"11309,91";"1,0000"
"308000009";"130024000012021NE000001";"2021NE000001";"05/01/2021";"NE";"Nota de Empenho";"Global";"Não se aplica";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastec";"130024";"SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/PB";"00001";"TESOURO NACIONAL";"***.789.824-**";"EURANI VIDAL COUTINHO";"LIQUIDACAO DE AUXILIO FUNERAL DE EX-SERVIDOR INATIVO JOSE MARIA BRITO COUTINHO EM FAVOR DE EURANI VIDAL COUTINHO CONFORME PROCESSO ACIMA.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"00";"RECURSOS ORDINARIOS";"22101";"MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO";"20";"Agricultura";"301";"Atenção básica";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MILITARES E SEUS DEPENDENTES";"";"212B0001";"BENEFICIOS OBRIGATORIOS AOS SERVIDORE - NACIONAL";"0009";"AUXILIO-FUNERAL E NATALIDADE DE CIVIS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"92";"Despesas de Exercícios Anteriores";"21032.008652/2020-47";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"20376,24";"20376,24";"1,0000"
"316300006";"155001152752021NE505642";"2021NE505642";"05/01/2021";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"200336";"COORDENACAO DE ORCAMENTO FINANCAS CONTABILIDA";"OBRIGACOES TRIBUT. E CONTRIB. OP. INTRA-ORCAMENTARIA/TAXAS";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"-3";"Inválido";"50";"RECURSOS NÃO-FINANCEIROS DIRETAM. ARRECADADOS";"26294";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"12";"Educação";"302";"Assistência hospitalar e ambulatorial";"5013";"EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"4086";"FUNCIONAMENTO E GESTAO DE INSTITUICOES HOSPITALARES FEDERAIS";"";"40860043";"FUNCIONAMENTO E GESTAO DE INSTITUICOE - NO ESTADO DO RIO GRA";"0000";"FUNCIONAMENTO E GESTAO DE INSTITUICOES HOSPITALARES FEDERAIS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"91";"APLICACOES DIRETAS - OPER.INTRA-ORCAMENTARIAS";"47";"Obrigações Tributárias e Contributivas";"1149669";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"377,16";"377,16";"1,0000"
"308300013";"254420252012021NE000001";"2021NE000001";"05/01/2021";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"36000";"Ministério da Saúde";"36201";"Fundação Oswaldo Cruz";"254420";"FUNDACAO OSWALDO CRUZ";"25201";"FUNDACAO OSWALDO CRUZ";"254420";"FUNDACAO OSWALDO CRUZ";"REFORCO";"2";"Orçamento da Seguridade Social";"A";"INICIAL (LOA)";"-3";"Inválido";"53";"CONTRIBUICAO P/FINANCIAM.DA SEGURIDADE SOCIAL";"36201";"FUNDACAO OSWALDO CRUZ";"10";"Saúde";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"20TP";"ATIVOS CIVIS DA UNIAO";"";"20TP0033";"ATIVOS CIVIS DA UNIAO                 - NO ESTADO DO RIO DE";"0000";"ATIVOS CIVIS DA UNIAO";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"1";"Pessoal e Encargos Sociais";"90";"Reserva de Contingência";"11";"Vencimentos e Vantagens Fixas - Pessoal Civil";"-8";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"0,00";"0,00";"0,0000"
"315200015";"323031322052021NE000004";"2021NE000004";"05/01/2021";"NE";"Nota de Empenho";"Global";"Não se aplica";"32000";"Ministério de Minas e Energia";"32205";"Agência Nacional do Petróleo, Gás Natural e B";"323031";"ESCRITORIO CENTRAL DA ANP";"32205";"AGENCIA NACIONAL DO PETROLEO";"323031";"ESCRITORIO CENTRAL DA ANP";"EMPENHO DESTINADO A ATENDER DESPESAS COM DIARIAS.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"50";"RECURSOS NÃO-FINANCEIROS DIRETAM. ARRECADADOS";"32265";"AGENCIA NACIONAL DO PETROLEO - ANP";"25";"Energia";"125";"Normatização e fiscalização";"3003";"PETROLEO, GAS, DERIVADOS E BIOCOMBUSTIVEIS";"212K";"REGULACAO DA EXPLORACAO, DESENVOLVIMENTO E PRODUCAO DE PETROLEO, GAS NATURAL E BIOCOMBUSTIVEIS";"";"212K0001";"REGULACAO DA EXPLORACAO, DESENVOLVIME - NACIONAL";"0004";"FISCALIZACAO DAS ATIVIDADES DA INDUSTRIA DO PETROLEO, GAS NATURAL E BIOCOMBUSTIVEIS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"14";"Diárias - Civil";"48610.200054/2021-54";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"5001,00";"5001,00";"1,0000"
"312700007";"170010000012021NE000014";"2021NE000014";"05/01/2021";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170010";"SECRETARIA DA RECEITA FEDERAL DO BRASIL-RFB";"00001";"TESOURO NACIONAL";"170010";"SECRETARIA DA RECEITA FEDERAL DO BRASIL-RFB";"DESPESAS, DURANTE O EXERCICIO CORRENTE, COM CONCESSAO DE DIARIAS A COLABORADORES EVENTUAIS QUE, A SERVICO, SE AFASTAREM EM CARATER EVENTUAL OU TRANSITORIO.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"-3";"Inválido";"50";"RECURSOS NÃO-FINANCEIROS DIRETAM. ARRECADADOS";"25103";"SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL";"04";"Administração";"125";"Normatização e fiscalização";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2237";"AUDITORIA E FISCALIZACAO TRIBUTARIA E ADUANEIRA";"";"22370001";"AUDITORIA E FISCALIZACAO TRIBUTARIA E - NACIONAL";"0000";"AUDITORIA E FISCALIZACAO TRIBUTARIA E ADUANEIRA - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"36";"Outros Serviços de Terceiros - Pessoa Física";"-8";"Não se Aplica";"SI";"SEM INFORMACAO";"-2";"-1";"NAO SE APLICA";"10000,00";"10000,00";"1,0000"
